Region,País,Años,Sexo,15-19 Años,20-24 Años,N° de suicidios,G 15-19 Años,G 20-24 Años
Africa,Mauritius,2018,femenino,3.0,4.0,7.0,Generación Z,Generación Y/Generación Z
Africa,Mauritius,2018,masculino,3.0,5.0,8.0,Generación Z,Generación Y/Generación Z
Africa,Mauritius,2019,femenino,1.0,3.0,4.0,Generación Z,Generación Y/Generación Z
Africa,Mauritius,2019,masculino,3.0,21.0,24.0,Generación Z,Generación Y/Generación Z
Africa,Mauritius,2020,femenino,5.0,3.0,8.0,Generación Z,Generación Y/Generación Z
Africa,Mauritius,2020,masculino,7.0,14.0,21.0,Generación Z,Generación Y/Generación Z
Africa,Mayotte,2016,masculino,1.0,0.0,1.0,Generación Z,Generación Y
Africa,R?union,2001,femenino,3.0,2.0,5.0,Generación Y,Generación X
Africa,R?union,2001,masculino,4.0,5.0,9.0,Generación Y,Generación X
Africa,R?union,2002,femenino,1.0,2.0,3.0,Generación Y,Generación X/Generación Y
Africa,R?union,2002,masculino,3.0,4.0,7.0,Generación Y,Generación X/Generación Y
Africa,R?union,2003,femenino,2.0,2.0,4.0,Generación Y,Generación X/Generación Y
Africa,R?union,2003,masculino,6.0,5.0,11.0,Generación Y,Generación X/Generación Y
Africa,R?union,2004,femenino,1.0,1.0,2.0,Generación Y,Generación X/Generación Y
Africa,R?union,2004,masculino,2.0,4.0,6.0,Generación Y,Generación X/Generación Y
Africa,R?union,2005,femenino,1.0,0.0,1.0,Generación Y,Generación X/Generación Y
Africa,R?union,2005,masculino,3.0,5.0,8.0,Generación Y,Generación X/Generación Y
Africa,R?union,2006,femenino,1.0,0.0,1.0,Generación Y,Generación Y
Africa,R?union,2006,masculino,2.0,9.0,11.0,Generación Y,Generación Y
Africa,R?union,2007,femenino,1.0,0.0,1.0,Generación Y,Generación Y
Africa,R?union,2007,masculino,2.0,6.0,8.0,Generación Y,Generación Y
Africa,R?union,2008,femenino,3.0,1.0,4.0,Generación Y,Generación Y
Africa,R?union,2008,masculino,4.0,5.0,9.0,Generación Y,Generación Y
Africa,R?union,2009,femenino,1.0,1.0,2.0,Generación Y,Generación Y
Africa,R?union,2009,masculino,5.0,5.0,10.0,Generación Y,Generación Y
Africa,R?union,2010,femenino,2.0,2.0,4.0,Generación Y,Generación Y
Africa,R?union,2010,masculino,5.0,4.0,9.0,Generación Y,Generación Y
Africa,R?union,2011,femenino,2.0,0.0,2.0,Generación Y,Generación Y
Africa,R?union,2011,masculino,3.0,3.0,6.0,Generación Y,Generación Y
Africa,R?union,2012,femenino,2.0,0.0,2.0,Generación Y/Generación Z,Generación Y
Africa,R?union,2012,masculino,4.0,6.0,10.0,Generación Y/Generación Z,Generación Y
Africa,R?union,2013,femenino,2.0,0.0,2.0,Generación Y/Generación Z,Generación Y
Africa,R?union,2013,masculino,2.0,5.0,7.0,Generación Y/Generación Z,Generación Y
Africa,R?union,2014,femenino,2.0,0.0,2.0,Generación Y/Generación Z,Generación Y
