Region,País,Años,Sexo,60-64 Años,65-69 Años,N° de suicidios,G 60-64 Años,G 65-69 Años
Asia,Armenia,1990,masculino,4.0,1.0,5.0,Grandiosos/Silenciosos,Grandiosos
Asia,Armenia,1991,femenino,5.0,3.0,8.0,Grandiosos/Silenciosos,Grandiosos
Asia,Armenia,1991,masculino,4.0,2.0,6.0,Grandiosos/Silenciosos,Grandiosos
Asia,Armenia,1992,femenino,1.0,3.0,4.0,Silenciosos,Grandiosos
Asia,Armenia,1992,masculino,6.0,4.0,10.0,Silenciosos,Grandiosos
Asia,Armenia,1993,femenino,3.0,6.0,9.0,Silenciosos,Grandiosos/Silenciosos
Asia,Armenia,1993,masculino,9.0,6.0,15.0,Silenciosos,Grandiosos/Silenciosos
Asia,Armenia,1994,femenino,4.0,6.0,10.0,Silenciosos,Grandiosos/Silenciosos
Asia,Armenia,1994,masculino,6.0,7.0,13.0,Silenciosos,Grandiosos/Silenciosos
Asia,Armenia,1995,femenino,4.0,0.0,4.0,Silenciosos,Grandiosos/Silenciosos
Asia,Armenia,1995,masculino,8.0,6.0,14.0,Silenciosos,Grandiosos/Silenciosos
Asia,Armenia,1996,femenino,2.0,5.0,7.0,Silenciosos,Grandiosos/Silenciosos
Asia,Armenia,1996,masculino,8.0,3.0,11.0,Silenciosos,Grandiosos/Silenciosos
Asia,Armenia,1997,femenino,3.0,0.0,3.0,Silenciosos,Silenciosos
Asia,Armenia,1997,masculino,5.0,5.0,10.0,Silenciosos,Silenciosos
Asia,Armenia,1998,femenino,0.0,1.0,1.0,Silenciosos,Silenciosos
Asia,Armenia,1998,masculino,2.0,6.0,8.0,Silenciosos,Silenciosos
Asia,Armenia,1999,femenino,5.0,2.0,7.0,Silenciosos,Silenciosos
Asia,Armenia,1999,masculino,6.0,2.0,8.0,Silenciosos,Silenciosos
Asia,Armenia,2000,femenino,1.0,1.0,2.0,Silenciosos,Silenciosos
Asia,Armenia,2000,masculino,7.0,2.0,9.0,Silenciosos,Silenciosos
Asia,Armenia,2001,femenino,0.0,1.0,1.0,Silenciosos,Silenciosos
Asia,Armenia,2001,masculino,4.0,6.0,10.0,Silenciosos,Silenciosos
Asia,Armenia,2002,femenino,1.0,1.0,2.0,Silenciosos,Silenciosos
Asia,Armenia,2002,masculino,6.0,6.0,12.0,Silenciosos,Silenciosos
Asia,Armenia,2003,masculino,6.0,2.0,8.0,Silenciosos,Silenciosos
Asia,Armenia,2006,femenino,1.0,3.0,4.0,Silenciosos/Boomers,Silenciosos
Asia,Armenia,2006,masculino,3.0,8.0,11.0,Silenciosos/Boomers,Silenciosos
Asia,Armenia,2007,femenino,0.0,2.0,2.0,Silenciosos/Boomers,Silenciosos
Asia,Armenia,2007,masculino,4.0,3.0,7.0,Silenciosos/Boomers,Silenciosos
Asia,Armenia,2008,femenino,1.0,0.0,1.0,Silenciosos/Boomers,Silenciosos
Asia,Armenia,2008,masculino,2.0,7.0,9.0,Silenciosos/Boomers,Silenciosos
Asia,Armenia,2009,masculino,2.0,3.0,5.0,Silenciosos/Boomers,Silenciosos
Asia,Armenia,2010,femenino,1.0,2.0,3.0,Boomers,Silenciosos
Asia,Armenia,2010,masculino,2.0,2.0,4.0,Boomers,Silenciosos
Asia,Armenia,2011,femenino,0.0,1.0,1.0,Boomers,Silenciosos/Boomers
Asia,Armenia,2011,masculino,3.0,2.0,5.0,Boomers,Silenciosos/Boomers
Asia,Armenia,2012,femenino,1.0,2.0,3.0,Boomers,Silenciosos/Boomers
Asia,Armenia,2012,masculino,2.0,4.0,6.0,Boomers,Silenciosos/Boomers
Asia,Armenia,2013,femenino,3.0,1.0,4.0,Boomers,Silenciosos/Boomers
Asia,Armenia,2013,masculino,3.0,4.0,7.0,Boomers,Silenciosos/Boomers
Asia,Armenia,2014,femenino,2.0,1.0,3.0,Boomers,Silenciosos/Boomers
Asia,Armenia,2014,masculino,7.0,0.0,7.0,Boomers,Silenciosos/Boomers
Asia,Armenia,2015,femenino,1.0,1.0,2.0,Boomers,Boomers
Asia,Armenia,2015,masculino,1.0,8.0,9.0,Boomers,Boomers
Asia,Armenia,2016,femenino,0.0,1.0,1.0,Boomers,Boomers
Asia,Armenia,2016,masculino,3.0,6.0,9.0,Boomers,Boomers
Asia,Armenia,2017,femenino,0.0,1.0,1.0,Boomers,Boomers
Asia,Armenia,2017,masculino,6.0,2.0,8.0,Boomers,Boomers
Asia,Armenia,2018,femenino,0.0,1.0,1.0,Boomers,Boomers
Asia,Armenia,2018,masculino,4.0,5.0,9.0,Boomers,Boomers
Asia,Armenia,2019,femenino,1.0,0.0,1.0,Boomers,Boomers
Asia,Armenia,2019,masculino,2.0,1.0,3.0,Boomers,Boomers
Asia,Armenia,2020,femenino,3.0,0.0,3.0,Boomers,Boomers
Asia,Armenia,2020,masculino,3.0,2.0,5.0,Boomers,Boomers
Asia,Azerbaijan,1981,femenino,8.0,5.0,13.0,Grandiosos,Grandiosos
Asia,Azerbaijan,1981,masculino,3.0,4.0,7.0,Grandiosos,Grandiosos
Asia,Azerbaijan,1982,femenino,8.0,2.0,10.0,Grandiosos,Grandiosos
Asia,Azerbaijan,1982,masculino,4.0,10.0,14.0,Grandiosos,Grandiosos
Asia,Azerbaijan,1985,femenino,6.0,1.0,7.0,Grandiosos,Grandiosos
Asia,Azerbaijan,1985,masculino,2.0,7.0,9.0,Grandiosos,Grandiosos
Asia,Azerbaijan,1986,femenino,6.0,3.0,9.0,Grandiosos,Grandiosos
Asia,Azerbaijan,1986,masculino,8.0,1.0,9.0,Grandiosos,Grandiosos
Asia,Azerbaijan,1987,femenino,9.0,2.0,11.0,Grandiosos,Grandiosos
Asia,Azerbaijan,1987,masculino,13.0,7.0,20.0,Grandiosos,Grandiosos
Asia,Azerbaijan,1988,femenino,6.0,4.0,10.0,Grandiosos/Silenciosos,Grandiosos
Asia,Azerbaijan,1988,masculino,12.0,2.0,14.0,Grandiosos/Silenciosos,Grandiosos
Asia,Azerbaijan,1989,femenino,8.0,5.0,13.0,Grandiosos/Silenciosos,Grandiosos
Asia,Azerbaijan,1989,masculino,9.0,8.0,17.0,Grandiosos/Silenciosos,Grandiosos
Asia,Azerbaijan,1990,femenino,1.0,3.0,4.0,Grandiosos/Silenciosos,Grandiosos
Asia,Azerbaijan,1990,masculino,6.0,2.0,8.0,Grandiosos/Silenciosos,Grandiosos
Asia,Azerbaijan,1991,femenino,2.0,1.0,3.0,Grandiosos/Silenciosos,Grandiosos
Asia,Azerbaijan,1991,masculino,9.0,2.0,11.0,Grandiosos/Silenciosos,Grandiosos
Asia,Azerbaijan,1992,femenino,3.0,4.0,7.0,Silenciosos,Grandiosos
Asia,Azerbaijan,1992,masculino,8.0,4.0,12.0,Silenciosos,Grandiosos
Asia,Azerbaijan,1993,femenino,2.0,0.0,2.0,Silenciosos,Grandiosos/Silenciosos
Asia,Azerbaijan,1993,masculino,8.0,1.0,9.0,Silenciosos,Grandiosos/Silenciosos
Asia,Azerbaijan,1994,femenino,1.0,1.0,2.0,Silenciosos,Grandiosos/Silenciosos
Asia,Azerbaijan,1994,masculino,3.0,1.0,4.0,Silenciosos,Grandiosos/Silenciosos
Asia,Azerbaijan,1995,masculino,1.0,3.0,4.0,Silenciosos,Grandiosos/Silenciosos
Asia,Azerbaijan,1996,femenino,0.0,2.0,2.0,Silenciosos,Grandiosos/Silenciosos
Asia,Azerbaijan,1996,masculino,4.0,4.0,8.0,Silenciosos,Grandiosos/Silenciosos
Asia,Azerbaijan,1997,femenino,1.0,1.0,2.0,Silenciosos,Silenciosos
Asia,Azerbaijan,1997,masculino,9.0,7.0,16.0,Silenciosos,Silenciosos
Asia,Azerbaijan,1998,femenino,1.0,1.0,2.0,Silenciosos,Silenciosos
Asia,Azerbaijan,1998,masculino,3.0,2.0,5.0,Silenciosos,Silenciosos
Asia,Azerbaijan,1999,femenino,0.0,1.0,1.0,Silenciosos,Silenciosos
Asia,Azerbaijan,1999,masculino,2.0,1.0,3.0,Silenciosos,Silenciosos
Asia,Azerbaijan,2000,femenino,1.0,0.0,1.0,Silenciosos,Silenciosos
Asia,Azerbaijan,2000,masculino,2.0,3.0,5.0,Silenciosos,Silenciosos
Asia,Azerbaijan,2001,femenino,4.0,7.0,11.0,Silenciosos,Silenciosos
Asia,Azerbaijan,2001,masculino,11.0,10.0,21.0,Silenciosos,Silenciosos
Asia,Azerbaijan,2002,femenino,1.0,5.0,6.0,Silenciosos,Silenciosos
Asia,Azerbaijan,2002,masculino,9.0,5.0,14.0,Silenciosos,Silenciosos
Asia,Azerbaijan,2003,femenino,1.0,2.0,3.0,Silenciosos,Silenciosos
Asia,Azerbaijan,2003,masculino,4.0,2.0,6.0,Silenciosos,Silenciosos
Asia,Azerbaijan,2004,femenino,0.0,2.0,2.0,Silenciosos,Silenciosos
Asia,Azerbaijan,2004,masculino,2.0,2.0,4.0,Silenciosos,Silenciosos
Asia,Azerbaijan,2007,masculino,1.0,1.0,2.0,Silenciosos/Boomers,Silenciosos
Asia,Bahrain,2004,masculino,3.0,0.0,3.0,Silenciosos,Silenciosos
Asia,Bahrain,2005,masculino,1.0,0.0,1.0,Silenciosos,Silenciosos
Asia,Bahrain,2011,masculino,1.0,0.0,1.0,Boomers,Silenciosos/Boomers
Asia,Brunei Darussalam,2006,masculino,1.0,0.0,1.0,Silenciosos/Boomers,Silenciosos
Asia,"China, Hong Kong SAR",1969,femenino,13.0,10.0,23.0,Grandiosos,Grandiosos
Asia,"China, Hong Kong SAR",1969,masculino,19.0,8.0,27.0,Grandiosos,Grandiosos
Asia,"China, Hong Kong SAR",1970,femenino,13.0,19.0,32.0,Grandiosos,Grandiosos
Asia,"China, Hong Kong SAR",1970,masculino,20.0,12.0,32.0,Grandiosos,Grandiosos
Asia,"China, Hong Kong SAR",1971,femenino,8.0,10.0,18.0,Grandiosos,Grandiosos
Asia,"China, Hong Kong SAR",1971,masculino,21.0,11.0,32.0,Grandiosos,Grandiosos
